,nox_emissions
279,127.16438692403482
280,127.16438692403482
281,127.16438692403482
282,127.16438692403482
283,127.16438692403482
284,127.16438692403482
285,127.16438692403482
286,127.16438692403482
287,127.16438692403482
288,127.16438692403482
289,127.16438692403482
290,127.16438692403482
291,127.16438692403482
292,127.16438692403482
293,127.16438692403482
294,127.16438692403482
295,127.16438692403482
296,127.16438692403482
297,127.16438692403482
298,127.16438692403482
299,127.16438692403482
300,127.16438692403482
301,127.16438692403482
302,127.16438692403482
303,127.16438692403482
304,127.16438692403482
305,127.16438692403482
306,127.16438692403482
307,127.16438692403482
308,127.16438692403482
309,127.16438692403482
310,127.16438692403482
311,127.16438692403482
312,127.16438692403482
313,127.16438692403482
314,127.16438692403482
315,127.16438692403482
316,127.16438692403482
317,127.16438692403482
318,127.16438692403482
319,127.16438692403482
320,127.16438692403482
321,127.16438692403482
322,127.16438692403482
323,127.16438692403482
324,127.16438692403482
325,127.16438692403482
326,127.16438692403482
327,127.16438692403482
328,127.16438692403482
329,127.16438692403482
330,127.16438692403482
331,127.16438692403482
332,127.16438692403482
333,127.16438692403482
334,127.16438692403482
335,127.16438692403482
336,127.16438692403482
337,127.16438692403482
338,127.16438692403482
339,127.16438692403482
340,127.16438692403482
341,127.16438692403482
342,127.16438692403482
343,127.16438692403482
344,127.16438692403482
345,127.16438692403482
346,127.16438692403482
347,127.16438692403482
348,127.16438692403482
349,127.16438692403482
350,127.16438692403482
351,127.16438692403482
352,127.16438692403482
353,127.16438692403482
354,127.16438692403482
355,127.16438692403482
356,127.16438692403482
357,56.0
358,127.16438692403482
359,56.0
360,127.16438692403482
361,11.0
362,14.0
363,127.16438692403482
364,127.16438692403482
365,38.0
366,95.0
367,127.16438692403482
368,127.16438692403482
369,127.16438692403482
370,127.16438692403482
371,127.16438692403482
372,127.16438692403482
373,127.16438692403482
374,127.16438692403482
375,127.16438692403482
376,127.16438692403482
377,127.16438692403482
378,61.0
379,29.0
380,127.16438692403482
381,127.16438692403482
382,61.0
383,29.0
384,127.16438692403482
385,127.16438692403482
386,95.0
387,127.16438692403482
388,95.0
389,127.16438692403482
390,127.16438692403482
391,127.16438692403482
392,31.0
393,127.16438692403482
394,454.0
395,52.0
396,127.16438692403482
397,52.0
398,127.16438692403482
399,48.0
400,127.16438692403482
401,59.0
402,127.16438692403482
403,48.0
404,127.16438692403482
405,59.0
406,127.16438692403482
407,59.0
408,127.16438692403482
409,59.0
410,127.16438692403482
411,59.0
412,127.16438692403482
413,43.0
414,127.16438692403482
415,43.0
416,127.16438692403482
417,43.0
418,127.16438692403482
419,43.0
420,127.16438692403482
421,43.0
422,127.16438692403482
423,43.0
424,127.16438692403482
425,489.0
426,127.16438692403482
427,489.0
428,127.16438692403482
429,489.0
430,127.16438692403482
431,127.16438692403482
432,489.0
433,53.0
434,127.16438692403482
435,53.0
436,127.16438692403482
437,127.16438692403482
438,53.0
439,127.16438692403482
440,53.0
441,53.0
442,127.16438692403482
443,127.16438692403482
444,127.16438692403482
445,127.16438692403482
446,127.16438692403482
447,127.16438692403482
448,127.16438692403482
449,127.16438692403482
450,103.0
451,127.16438692403482
452,103.0
453,127.16438692403482
454,127.16438692403482
455,127.16438692403482
456,127.16438692403482
457,127.16438692403482
458,127.16438692403482
459,127.16438692403482
460,127.16438692403482
461,127.16438692403482
462,127.16438692403482
463,127.16438692403482
464,127.16438692403482
465,127.16438692403482
466,127.16438692403482
467,127.16438692403482
468,127.16438692403482
469,127.16438692403482
470,127.16438692403482
471,127.16438692403482
472,127.16438692403482
473,127.16438692403482
474,127.16438692403482
475,127.16438692403482
476,127.16438692403482
477,127.16438692403482
478,127.16438692403482
479,387.0
480,457.0
481,387.0
482,78.0
483,84.0
484,59.0
485,676.0
486,591.0
487,775.0
488,695.0
489,36.0
490,47.0
491,671.0
492,689.0
493,628.0
494,667.0
495,643.0
496,705.0
497,616.0
498,624.0
499,127.16438692403482
500,83.0
501,127.16438692403482
502,127.16438692403482
503,127.16438692403482
504,127.16438692403482
505,127.16438692403482
506,127.16438692403482
507,127.16438692403482
508,127.16438692403482
509,127.16438692403482
510,127.16438692403482
511,127.16438692403482
