,thc_emissions_[mg/km]
430,49.22662638179499
431,49.22662638179499
432,49.22662638179499
433,47.0
434,49.22662638179499
435,47.0
436,49.22662638179499
437,49.22662638179499
438,47.0
439,49.22662638179499
440,47.0
441,47.0
442,49.22662638179499
443,49.22662638179499
444,49.22662638179499
445,49.22662638179499
446,49.22662638179499
447,49.22662638179499
448,49.22662638179499
449,49.22662638179499
450,61.0
451,49.22662638179499
452,61.0
453,49.22662638179499
454,49.22662638179499
455,49.22662638179499
456,49.22662638179499
457,49.22662638179499
458,49.22662638179499
459,49.22662638179499
460,49.22662638179499
461,49.22662638179499
462,49.22662638179499
463,49.22662638179499
464,49.22662638179499
465,49.22662638179499
466,49.22662638179499
467,49.22662638179499
468,49.22662638179499
469,49.22662638179499
470,49.22662638179499
471,49.22662638179499
472,49.22662638179499
473,49.22662638179499
474,49.22662638179499
475,49.22662638179499
476,49.22662638179499
477,49.22662638179499
478,49.22662638179499
479,49.22662638179499
480,49.22662638179499
481,49.22662638179499
482,128.0
483,106.0
484,71.0
485,49.22662638179499
486,49.22662638179499
487,49.22662638179499
488,49.22662638179499
489,92.0
490,77.0
491,49.22662638179499
492,49.22662638179499
493,49.22662638179499
494,49.22662638179499
495,49.22662638179499
496,49.22662638179499
497,49.22662638179499
498,49.22662638179499
499,49.22662638179499
500,66.0
501,49.22662638179499
502,49.22662638179499
503,49.22662638179499
504,49.22662638179499
505,49.22662638179499
506,49.22662638179499
507,49.22662638179499
508,49.22662638179499
509,49.22662638179499
510,49.22662638179499
511,49.22662638179499
512,49.22662638179499
513,49.22662638179499
514,49.22662638179499
515,49.22662638179499
516,49.22662638179499
517,49.22662638179499
518,49.22662638179499
519,49.22662638179499
520,49.22662638179499
521,49.22662638179499
522,49.22662638179499
523,49.22662638179499
524,49.22662638179499
525,58.0
526,27.0
527,58.0
528,108.0
529,58.0
530,108.0
531,58.0
532,27.0
533,108.0
534,49.22662638179499
535,49.22662638179499
536,49.22662638179499
537,49.22662638179499
538,49.22662638179499
539,49.22662638179499
540,49.22662638179499
541,49.22662638179499
542,49.22662638179499
543,49.22662638179499
544,85.0
545,108.0
546,58.0
547,108.0
548,85.0
549,108.0
550,85.0
551,108.0
552,58.0
553,108.0
554,119.0
555,129.0
556,49.22662638179499
557,129.0
558,125.0
559,129.0
560,49.22662638179499
561,134.0
562,134.0
563,120.0
564,134.0
565,49.22662638179499
566,49.22662638179499
567,104.0
568,92.0
569,104.0
570,92.0
571,104.0
572,92.0
573,104.0
574,92.0
575,49.22662638179499
576,104.0
577,92.0
578,104.0
579,92.0
580,104.0
581,92.0
582,104.0
583,92.0
584,49.22662638179499
585,107.0
586,111.0
587,49.22662638179499
588,137.0
589,138.0
590,137.0
591,138.0
592,80.0
593,105.0
594,108.0
595,113.0
596,119.0
597,118.0
598,120.0
599,84.0
600,49.22662638179499
601,140.0
602,49.22662638179499
603,49.22662638179499
604,87.0
605,96.0
606,87.0
607,96.0
608,49.22662638179499
609,49.22662638179499
610,49.22662638179499
611,49.22662638179499
612,49.22662638179499
613,49.22662638179499
614,49.22662638179499
615,49.22662638179499
616,37.0
617,70.0
618,49.22662638179499
619,49.22662638179499
620,49.22662638179499
621,18.0
622,43.0
623,49.22662638179499
624,49.22662638179499
625,49.22662638179499
626,49.22662638179499
627,49.22662638179499
628,49.22662638179499
629,49.22662638179499
630,49.22662638179499
631,49.22662638179499
632,49.22662638179499
633,49.22662638179499
634,49.22662638179499
635,49.22662638179499
636,49.22662638179499
637,49.22662638179499
638,49.22662638179499
639,49.22662638179499
640,49.22662638179499
641,49.22662638179499
642,49.22662638179499
643,49.22662638179499
644,49.22662638179499
645,90.0
646,70.0
647,56.0
648,49.22662638179499
649,49.22662638179499
650,49.22662638179499
651,49.22662638179499
652,49.22662638179499
653,49.22662638179499
654,49.22662638179499
655,49.22662638179499
656,49.22662638179499
657,49.22662638179499
658,49.22662638179499
659,49.22662638179499
660,49.22662638179499
661,49.22662638179499
662,49.22662638179499
663,49.22662638179499
664,49.22662638179499
665,49.22662638179499
666,49.22662638179499
667,49.22662638179499
668,49.22662638179499
669,49.22662638179499
670,49.22662638179499
671,49.22662638179499
672,49.22662638179499
673,49.22662638179499
674,49.22662638179499
675,49.22662638179499
676,49.22662638179499
677,49.22662638179499
678,49.22662638179499
679,49.22662638179499
680,49.22662638179499
681,49.22662638179499
682,49.22662638179499
683,49.22662638179499
684,49.22662638179499
685,49.22662638179499
686,49.22662638179499
687,49.22662638179499
688,49.22662638179499
689,49.22662638179499
690,49.22662638179499
691,49.22662638179499
692,49.22662638179499
693,49.22662638179499
694,49.22662638179499
695,49.22662638179499
696,49.22662638179499
697,49.22662638179499
698,49.22662638179499
699,49.22662638179499
700,49.22662638179499
701,49.22662638179499
702,49.22662638179499
703,49.22662638179499
704,49.22662638179499
705,49.22662638179499
706,49.22662638179499
707,49.22662638179499
708,49.22662638179499
709,49.22662638179499
710,49.22662638179499
711,49.22662638179499
712,49.22662638179499
713,49.22662638179499
714,49.22662638179499
715,49.22662638179499
716,49.22662638179499
717,49.22662638179499
718,140.0
719,150.0
720,49.22662638179499
721,49.22662638179499
722,49.22662638179499
723,49.22662638179499
724,49.22662638179499
725,49.22662638179499
726,49.22662638179499
727,49.22662638179499
728,49.22662638179499
729,49.22662638179499
730,49.22662638179499
731,49.22662638179499
732,49.22662638179499
733,49.22662638179499
734,49.22662638179499
735,49.22662638179499
736,49.22662638179499
737,49.22662638179499
738,49.22662638179499
739,49.22662638179499
740,49.22662638179499
741,49.22662638179499
742,49.22662638179499
743,49.22662638179499
744,49.22662638179499
745,49.22662638179499
