,fuel_cost_12000_miles
325,1548.0944902824476
326,1548.0944902824476
327,1548.0944902824476
328,1548.0944902824476
329,1548.0944902824476
330,1548.0944902824476
331,1548.0944902824476
332,1548.0944902824476
333,1548.0944902824476
334,1548.0944902824476
335,1548.0944902824476
336,1548.0944902824476
337,1548.0944902824476
338,1548.0944902824476
339,1548.0944902824476
340,1548.0944902824476
341,1548.0944902824476
342,1548.0944902824476
343,1548.0944902824476
344,1548.0944902824476
345,1548.0944902824476
346,1548.0944902824476
347,1548.0944902824476
348,1548.0944902824476
349,1548.0944902824476
350,1548.0944902824476
351,1548.0944902824476
352,1548.0944902824476
353,1548.0944902824476
354,1548.0944902824476
355,1548.0944902824476
356,1548.0944902824476
357,1548.0944902824476
358,1548.0944902824476
359,1548.0944902824476
360,1548.0944902824476
361,1548.0944902824476
362,1548.0944902824476
363,1548.0944902824476
364,1548.0944902824476
365,1548.0944902824476
366,1548.0944902824476
367,1548.0944902824476
368,1548.0944902824476
369,1548.0944902824476
370,1548.0944902824476
371,1548.0944902824476
372,1548.0944902824476
373,1548.0944902824476
374,1548.0944902824476
375,1548.0944902824476
376,1548.0944902824476
377,1548.0944902824476
378,1548.0944902824476
379,1548.0944902824476
380,1548.0944902824476
381,1548.0944902824476
382,1548.0944902824476
383,1548.0944902824476
384,1548.0944902824476
385,1548.0944902824476
386,1548.0944902824476
387,1548.0944902824476
388,1548.0944902824476
389,1548.0944902824476
390,1548.0944902824476
391,1548.0944902824476
392,1548.0944902824476
393,1548.0944902824476
394,1548.0944902824476
395,1548.0944902824476
396,1548.0944902824476
397,1548.0944902824476
398,1548.0944902824476
399,1548.0944902824476
400,1548.0944902824476
401,1548.0944902824476
402,1548.0944902824476
403,1548.0944902824476
404,1548.0944902824476
405,1548.0944902824476
406,1548.0944902824476
407,1548.0944902824476
408,1548.0944902824476
409,1548.0944902824476
410,1548.0944902824476
411,1548.0944902824476
412,1548.0944902824476
413,1548.0944902824476
414,1548.0944902824476
415,1548.0944902824476
416,1548.0944902824476
417,1548.0944902824476
418,1548.0944902824476
419,1548.0944902824476
420,1548.0944902824476
421,1548.0944902824476
422,1548.0944902824476
423,1548.0944902824476
424,1548.0944902824476
425,1548.0944902824476
426,1548.0944902824476
427,1548.0944902824476
428,1548.0944902824476
429,1548.0944902824476
430,1548.0944902824476
431,1548.0944902824476
432,1548.0944902824476
433,1548.0944902824476
434,1548.0944902824476
435,1548.0944902824476
436,1548.0944902824476
437,1548.0944902824476
438,1548.0944902824476
439,1548.0944902824476
440,1548.0944902824476
441,1548.0944902824476
442,1548.0944902824476
443,1548.0944902824476
444,1548.0944902824476
445,1548.0944902824476
446,1548.0944902824476
447,1548.0944902824476
448,1548.0944902824476
449,1548.0944902824476
450,1548.0944902824476
451,1548.0944902824476
452,1548.0944902824476
453,1548.0944902824476
454,1548.0944902824476
455,1548.0944902824476
456,1548.0944902824476
457,1548.0944902824476
458,1548.0944902824476
459,1548.0944902824476
460,1548.0944902824476
461,1548.0944902824476
462,1548.0944902824476
463,1548.0944902824476
464,1548.0944902824476
465,1548.0944902824476
466,1548.0944902824476
467,1548.0944902824476
468,1548.0944902824476
469,1548.0944902824476
470,1548.0944902824476
471,1548.0944902824476
472,1548.0944902824476
473,1548.0944902824476
474,1548.0944902824476
475,1548.0944902824476
476,1548.0944902824476
477,1548.0944902824476
478,1548.0944902824476
479,1548.0944902824476
480,1548.0944902824476
481,1548.0944902824476
482,1548.0944902824476
483,1548.0944902824476
484,1548.0944902824476
485,1548.0944902824476
486,1548.0944902824476
487,1548.0944902824476
488,1548.0944902824476
489,1548.0944902824476
490,1548.0944902824476
491,1548.0944902824476
492,1548.0944902824476
493,1548.0944902824476
494,1548.0944902824476
495,1548.0944902824476
496,1548.0944902824476
497,1548.0944902824476
498,1548.0944902824476
499,1548.0944902824476
500,1548.0944902824476
501,1548.0944902824476
502,1548.0944902824476
503,1548.0944902824476
504,1548.0944902824476
505,1548.0944902824476
506,1548.0944902824476
507,1548.0944902824476
508,1548.0944902824476
509,1548.0944902824476
510,1548.0944902824476
511,1548.0944902824476
512,1548.0944902824476
513,1548.0944902824476
514,1548.0944902824476
515,1548.0944902824476
516,1548.0944902824476
517,1548.0944902824476
518,1548.0944902824476
519,1548.0944902824476
520,1548.0944902824476
521,1548.0944902824476
522,1548.0944902824476
523,1548.0944902824476
524,1548.0944902824476
525,1548.0944902824476
526,1548.0944902824476
527,1548.0944902824476
528,1548.0944902824476
529,1548.0944902824476
530,1548.0944902824476
531,1548.0944902824476
532,1548.0944902824476
533,1548.0944902824476
